LDR1,LDR2,Direction
864,866,CENTER
980,785,LEFT
967,833,LEFT
852,846,CENTER
819,321,LEFT
969,791,LEFT
891,871,CENTER
973,771,LEFT
913,322,LEFT
868,885,CENTER
855,697,LEFT
977,764,LEFT
885,613,LEFT
930,912,CENTER
878,341,LEFT
849,588,LEFT
947,849,LEFT
866,654,LEFT
835,307,LEFT
865,888,CENTER
846,583,LEFT
914,473,LEFT
945,898,CENTER
970,763,LEFT
873,481,LEFT
968,783,LEFT
974,791,LEFT
868,313,LEFT
806,311,LEFT
892,616,LEFT
894,585,LEFT
888,330,LEFT
889,666,LEFT
840,733,LEFT
934,859,LEFT
940,883,LEFT
841,303,LEFT
943,866,LEFT
979,886,LEFT
855,463,LEFT
922,839,LEFT
825,724,LEFT
886,450,LEFT
973,811,LEFT
939,756,LEFT
906,857,CENTER
863,472,LEFT
880,660,LEFT
907,858,CENTER
839,766,LEFT
872,697,LEFT
906,857,CENTER
958,917,CENTER
877,611,LEFT
881,898,CENTER
858,320,LEFT
895,860,CENTER
961,893,LEFT
855,457,LEFT
875,850,CENTER
908,341,LEFT
837,781,LEFT
894,425,LEFT
935,843,LEFT
862,353,LEFT
892,581,LEFT
952,802,LEFT
872,696,LEFT
883,694,LEFT
844,653,LEFT
870,853,CENTER
933,900,CENTER
892,449,LEFT
954,808,LEFT
875,566,LEFT
963,809,LEFT
859,745,LEFT
931,735,LEFT
965,809,LEFT
804,730,LEFT
853,580,LEFT
809,305,LEFT
845,589,LEFT
894,612,LEFT
861,850,CENTER
868,852,CENTER
956,916,CENTER
958,815,LEFT
898,478,LEFT
851,655,LEFT
843,577,LEFT
834,779,LEFT
797,327,LEFT
888,582,LEFT
949,870,LEFT
894,441,LEFT
873,882,CENTER
857,614,LEFT
893,670,LEFT
850,657,LEFT
818,768,LEFT
850,732,LEFT
943,770,LEFT
885,355,LEFT
914,820,LEFT
900,583,LEFT
894,450,LEFT
887,561,LEFT
945,804,LEFT
841,299,LEFT
982,892,LEFT
883,561,LEFT
945,828,LEFT
972,810,LEFT
879,858,CENTER
857,732,LEFT
947,756,LEFT
827,782,CENTER
825,738,LEFT
849,608,LEFT
900,455,LEFT
856,599,LEFT
934,837,LEFT
924,854,LEFT
969,780,LEFT
786,304,LEFT
963,916,CENTER
854,735,LEFT
868,893,CENTER
785,314,LEFT
941,772,LEFT
971,748,LEFT
914,354,LEFT
910,888,CENTER
891,335,LEFT
852,890,CENTER
923,832,LEFT
889,679,LEFT
980,768,LEFT
861,668,LEFT
930,792,LEFT
853,574,LEFT
958,738,LEFT
864,898,CENTER
904,897,CENTER
966,757,LEFT
